ticket_id,created_date,category,subcategory,priority,issue_description,root_cause,resolution,assigned_team,resolution_time_hours
INC100029,2024-06-04 20:21:14,Desktop,Application Stability,Low,Finance application becomes unresponsive after a few minutes of use,Insufficient system memory combined with a memory leak in an outdated version of the application was causing it to become unresponsive.,"Closed unnecessary background processes to free memory, updated the application to the latest patched version, increased the page file size, and confirmed stable operation over an extended testing period.",Application Support,31.0
INC100030,2024-06-05 07:49:36,Email,Mail Flow,Low,External email delivery failing with NDR error,An outbound transport rule misconfiguration was blocking emails sent to specific external domains.,"Reviewed mail flow logs in the Exchange admin center, identified the incorrect transport rule, corrected the recipient domain conditions, and confirmed successful delivery of a test email to an external address.",Messaging Team,12.4
INC100031,2024-06-05 08:39:45,SharePoint,Access Denied,Medium,"Unable to view department SharePoint page, permissions error",The user's permission group had been removed from the SharePoint site during a recent permissions audit.,"Reviewed site permissions in SharePoint admin settings, re-added the user to the appropriate SharePoint group, verified inherited permissions on relevant document libraries, and confirmed the user could access the site.",Cloud Operations,17.7
INC100032,2024-06-05 09:05:32,Desktop,Peripherals,Medium,Peripherals not working after Windows update on workstation,"A Windows update had reset USB controller power management settings, causing USB ports to enter a low-power state that disconnected peripherals.","Updated USB controller drivers, disabled USB selective suspend in power management settings, reconnected peripherals to different USB ports, and confirmed consistent responsiveness.",Desktop Support,6.0
INC100033,2024-06-05 09:13:58,Printer,Print Quality,Medium,Printer output quality has degraded significantly,"The toner cartridge was low and the print drum required cleaning, resulting in degraded print quality.","Replaced the low toner cartridge, cleaned the print drum and rollers per manufacturer guidance, ran a test print and calibration cycle, and confirmed print quality was restored.",Desktop Support,26.0
INC100034,2024-06-05 10:38:41,WiFi,Performance,Low,WiFi speeds are extremely slow in the conference room,Access point congestion due to a high density of connected devices in one area was exceeding the recommended client capacity per access point.,"Analyzed access point client load using the wireless controller dashboard, deployed an additional access point to balance the load, enabled band steering to push capable devices to the less congested 5GHz band, and confirmed improved speeds.",Network Team,19.0
INC100035,2024-06-05 12:18:37,Microsoft Teams,External Access,High,External user search returns no results in Teams,"External access (federation) had not been enabled between the two organizations' tenants, preventing cross-tenant search and communication.","Verified external access settings in the Teams admin center, added the partner organization's domain to the allowed list, waited for the configuration to propagate, and confirmed successful contact search and messaging.",Cloud Operations,9.2
INC100036,2024-06-05 12:56:48,Password Reset,Self-Service Reset,Medium,SSPR tool gives error when trying to reset password,"The new password entered did not meet updated complexity requirements, but the self-service reset portal returned a generic error instead of specifying the requirement.","Clarified the updated password complexity requirements to the user, assisted them in creating a compliant password through the self-service portal, and confirmed successful reset and login.",Security Team,11.9
INC100037,2024-06-05 13:18:19,WiFi,Guest Network,Medium,Guest WiFi login page fails to load for new visitors,"The guest network's captive portal certificate had expired, preventing the login page from loading securely on visitor devices.","Renewed the expired SSL certificate for the captive portal, updated the certificate on the wireless controller, tested the guest login flow from a visitor device, and confirmed successful internet access.",Network Team,4.9
INC100038,2024-06-05 14:00:50,Laptop,Performance,Low,Laptop takes forever to boot and open applications,Excessive startup applications and accumulated temporary files were consuming system resources and slowing down boot and overall performance.,"Disabled unnecessary startup applications via Task Manager, cleared temporary files and browser cache using Disk Cleanup, ran a malware scan to rule out infection, and confirmed improved boot time and responsiveness.",Desktop Support,51.8
INC100039,2024-06-05 14:04:41,Printer,Driver Issue,Low,Printer shows error 0x00000709 after update,The recent Windows update overwrote the existing printer driver with an incompatible generic driver.,"Uninstalled the incompatible generic driver, downloaded and installed the manufacturer-certified driver version, reconfigured the default printer settings, and verified successful printing.",Desktop Support,35.7
INC100040,2024-06-05 21:41:24,Office 365,OneDrive Sync,Medium,OneDrive icon shows a permanent sync error in the taskbar,A file path exceeding the maximum character limit was causing the OneDrive sync client to fail on specific files.,"Identified the files with excessively long file paths using the OneDrive sync diagnostic tool, renamed and relocated the affected files to shorten the path, reset the OneDrive sync client, and confirmed successful synchronization.",Cloud Operations,21.6
INC100041,2024-06-06 08:23:43,Printer,Print Quality,Low,Pages printing with lines through the text,"The toner cartridge was low and the print drum required cleaning, resulting in degraded print quality.","Replaced the low toner cartridge, cleaned the print drum and rollers per manufacturer guidance, ran a test print and calibration cycle, and confirmed print quality was restored.",Desktop Support,26.2
INC100042,2024-06-06 08:43:10,Active Directory,Group Policy,Medium,Group policy not applying correctly after organizational unit change,"Group Policy Objects linked to the previous organizational unit were not linked to the new OU, causing loss of policy-based resource access.","Reviewed GPO links in Group Policy Management Console, linked the appropriate policies to the new organizational unit, ran gpupdate /force on affected machines, and confirmed restored access.",Security Team,10.6
INC100043,2024-06-06 10:41:01,Outlook,Shared Mailbox,Medium,User lost access to a delegated shared mailbox in Outlook,The user's permission on the shared mailbox had been inadvertently removed during a recent Active Directory group cleanup.,"Re-added the user's permissions to the shared mailbox in the Exchange Online admin center, had the user remove and re-add the shared mailbox in Outlook, and confirmed it appeared with full access.",Messaging Team,16.2
INC100044,2024-06-06 11:43:33,Security,Unauthorized Access,High,Multiple failed login attempts detected on a privileged account,An external actor was attempting credential stuffing attacks against a privileged account using a list of leaked passwords.,"Locked the targeted account immediately, forced a password reset with enhanced complexity requirements, enabled mandatory MFA for the account, and blocked the source IP addresses at the firewall.",Security Team,6.1
INC100045,2024-06-06 14:06:24,Email,Mail Flow,Medium,"User cannot send emails to external domains, only internal works",An outbound transport rule misconfiguration was blocking emails sent to specific external domains.,"Reviewed mail flow logs in the Exchange admin center, identified the incorrect transport rule, corrected the recipient domain conditions, and confirmed successful delivery of a test email to an external address.",Messaging Team,7.1
INC100046,2024-06-06 16:06:25,Active Directory,Account Disabled,Low,Employee account was accidentally disabled and needs reactivation,An automated offboarding script incorrectly matched and disabled an active employee's account due to a similar username to a departing employee.,"Identified the cause via audit logs, re-enabled the user account in Active Directory, verified all group memberships and permissions remained intact, and flagged the offboarding script for a logic fix to prevent recurrence.",Security Team,22.8
INC100047,2024-06-06 23:50:32,Password Reset,Account Lockout,Medium,"Employee cannot log in, receiving 'account locked' message","An old cached password on a mobile device was repeatedly attempting authentication with outdated credentials, triggering the account lockout policy.","Unlocked the Active Directory account using AD Users and Computers, identified the mobile device with cached old credentials, updated the password on the device, and confirmed the account remained unlocked.",Security Team,12.2
INC100048,2024-06-07 01:00:06,Security,Unauthorized Access,Critical,Brute force attack detected against admin account,An external actor was attempting credential stuffing attacks against a privileged account using a list of leaked passwords.,"Locked the targeted account immediately, forced a password reset with enhanced complexity requirements, enabled mandatory MFA for the account, and blocked the source IP addresses at the firewall.",Security Team,3.0
INC100049,2024-06-07 11:30:20,Software Installation,Update Compatibility,High,Software behaves incorrectly since the last automatic update,The latest software update introduced a compatibility issue with the company's customized configuration settings.,"Identified the specific update causing the issue through vendor release notes, rolled back to the previous stable version while the vendor addressed the bug, and scheduled a controlled update once a patched version was released.",Application Support,2.3
INC100050,2024-06-07 12:15:03,Application Access,Login Failure,Low,User cannot sign into the business application despite correct credentials,The user's account had not been properly provisioned in the application's identity provider following a recent SSO migration.,"Verified the user's account status in the application's admin console, manually provisioned the account through the SSO identity provider, synchronized the user attributes, and confirmed successful login.",Application Support,62.9
INC100051,2024-06-07 12:56:03,Microsoft Teams,Meetings,Low,Teams meeting fails to connect and shows a generic error,An outdated Teams client version was incompatible with the meeting service's updated calling infrastructure.,"Updated the Teams client to the latest version through the app's update mechanism, restarted the application, verified microphone and camera permissions were granted, and confirmed successful meeting join with working audio and video.",Cloud Operations,52.7
INC100052,2024-06-07 13:12:20,Desktop,Application Stability,Low,Desktop app hangs and requires force close repeatedly,Insufficient system memory combined with a memory leak in an outdated version of the application was causing it to become unresponsive.,"Closed unnecessary background processes to free memory, updated the application to the latest patched version, increased the page file size, and confirmed stable operation over an extended testing period.",Application Support,65.4
INC100053,2024-06-08 01:30:06,Office 365,OneDrive Sync,Medium,"Files not syncing to OneDrive, stuck in 'processing changes'",A file path exceeding the maximum character limit was causing the OneDrive sync client to fail on specific files.,"Identified the files with excessively long file paths using the OneDrive sync diagnostic tool, renamed and relocated the affected files to shorten the path, reset the OneDrive sync client, and confirmed successful synchronization.",Cloud Operations,11.6
INC100054,2024-06-08 05:43:26,SharePoint,File Upload,High,Error uploading files larger than expected to SharePoint,The file being uploaded exceeded the character limit for file path length when combined with the deep folder structure of the SharePoint library.,"Identified the file path length issue, restructured the folder hierarchy to shorten the overall path, renamed the file to a shorter name, and confirmed successful upload.",Application Support,11.9
INC100055,2024-06-08 15:29:48,Office 365,OneDrive Sync,High,OneDrive showing sync errors with red X icons on files,A file path exceeding the maximum character limit was causing the OneDrive sync client to fail on specific files.,"Identified the files with excessively long file paths using the OneDrive sync diagnostic tool, renamed and relocated the affected files to shorten the path, reset the OneDrive sync client, and confirmed successful synchronization.",Cloud Operations,2.4
INC100056,2024-06-08 15:51:57,Office 365,Activation,Low,"Office 365 apps require reactivation, showing red banner",A token refresh failure between the local Office installation and the Azure AD authentication service caused the activation status to lapse.,"Signed the user out of all Office applications, cleared cached credentials using Credential Manager, signed back in with corporate credentials, and confirmed Office reactivated successfully.",Cloud Operations,17.4
INC100057,2024-06-09 03:04:23,SharePoint,Access Denied,Medium,User locked out of a SharePoint site they used to access,The user's permission group had been removed from the SharePoint site during a recent permissions audit.,"Reviewed site permissions in SharePoint admin settings, re-added the user to the appropriate SharePoint group, verified inherited permissions on relevant document libraries, and confirmed the user could access the site.",Cloud Operations,11.2
INC100058,2024-06-10 00:17:05,Software Installation,Update Compatibility,Medium,Recent application update causing errors during normal use,The latest software update introduced a compatibility issue with the company's customized configuration settings.,"Identified the specific update causing the issue through vendor release notes, rolled back to the previous stable version while the vendor addressed the bug, and scheduled a controlled update once a patched version was released.",Application Support,15.6
INC100059,2024-06-10 04:15:11,Office 365,OneDrive Sync,Low,OneDrive client reports sync conflicts repeatedly,A file path exceeding the maximum character limit was causing the OneDrive sync client to fail on specific files.,"Identified the files with excessively long file paths using the OneDrive sync diagnostic tool, renamed and relocated the affected files to shorten the path, reset the OneDrive sync client, and confirmed successful synchronization.",Cloud Operations,64.4
INC100060,2024-06-10 07:27:08,WiFi,Authentication,Low,Device fails to authenticate to office wireless network,The wireless network profile on the device had a mismatched or expired certificate required for WPA2-Enterprise authentication.,"Removed the existing WiFi profile from the device, reinstalled the required network authentication certificate, reconnected to the corporate SSID with updated credentials, and confirmed stable connectivity.",Network Team,8.1
INC100061,2024-06-10 08:06:39,Laptop,Docking Station,High,Laptop fails to detect external monitors when docked,Outdated docking station firmware and a USB-C driver conflict were preventing proper device detection.,"Updated the docking station firmware to the latest version, updated USB-C and display drivers on the laptop, reseated all cable connections, and confirmed external monitors and peripherals were detected correctly.",Desktop Support,7.9
INC100062,2024-06-10 10:46:47,Outlook,Search,Medium,Outlook search returns no results for emails known to exist,"The Windows Search index for Outlook had become corrupted, preventing the search function from returning accurate results.","Rebuilt the Outlook search index via Indexing Options in Control Panel, verified Outlook was included in the indexed locations, allowed the index to rebuild fully, and confirmed search returned correct results.",Messaging Team,17.3
INC100063,2024-06-10 11:26:20,Printer,Print Queue,Medium,Printer shows online but documents won't print,The print spooler service had become unresponsive due to a corrupted print job stuck in the queue.,"Stopped the print spooler service, deleted stuck print jobs from the spool folder, restarted the print spooler service, and confirmed a test print completed successfully.",Desktop Support,15.9
INC100064,2024-06-10 11:30:51,Application Access,Session Timeout,Low,Session expires unexpectedly while working in the application,"The application's session timeout value had been set too aggressively in a recent configuration change, well below the documented business requirement.","Reviewed the application's session configuration settings, adjusted the timeout value to align with the documented business requirement, and confirmed with the user that sessions persisted appropriately during normal use.",Application Support,57.5
INC100065,2024-06-10 16:02:22,Active Directory,Account Disabled,Medium,Employee account was accidentally disabled and needs reactivation,An automated offboarding script incorrectly matched and disabled an active employee's account due to a similar username to a departing employee.,"Identified the cause via audit logs, re-enabled the user account in Active Directory, verified all group memberships and permissions remained intact, and flagged the offboarding script for a logic fix to prevent recurrence.",Security Team,17.9
INC100066,2024-06-10 19:13:57,Outlook,Sync Issue,High,Outlook stuck showing 'Trying to connect' and not receiving mail,"The local OST cache file had become corrupted, preventing synchronization between the Outlook client and the Exchange Online mailbox.","Closed Outlook, deleted the corrupted OST file from the local profile cache, reopened Outlook to trigger a fresh download of mailbox data, and confirmed new emails were syncing correctly.",Messaging Team,8.3
INC100067,2024-06-11 07:21:54,Security,Malware,Critical,Endpoint protection flagged a suspicious file as malicious,The user had downloaded an infected file from an untrusted website that bypassed initial email filtering.,"Isolated the affected device from the network immediately, ran a full antivirus scan and removed the identified malware, verified no lateral spread occurred via network logs, and re-imaged the device as a precaution before returning it to service.",Security Team,2.9
INC100068,2024-06-11 08:28:20,VPN,Client Software,Critical,VPN application will not stay open long enough to connect,Corrupted VPN client installation files combined with an outdated network adapter driver caused the application to crash on launch.,"Uninstalled the VPN client completely, removed leftover configuration folders, updated the network adapter driver to the latest version, reinstalled the VPN client from the approved software repository, and confirmed stable connection without crashes.",Desktop Support,0.9
INC100069,2024-06-11 12:37:43,VPN,Authentication,Medium,VPN login rejected immediately after password reset,"Stored VPN credentials became invalid after the user's domain password was updated, causing authentication failures against the RADIUS server.","Cleared cached VPN credentials from Windows Credential Manager, prompted the user to re-enter the new password, restarted the VPN client service, and verified successful tunnel establishment and connectivity to internal resources.",Network Team,6.9
INC100070,2024-06-11 19:22:44,Security,Device Restriction,High,"USB drive not recognized, blocked by endpoint security policy",USB storage device access was intentionally restricted by endpoint security policy to prevent unauthorized data exfiltration.,"Confirmed the restriction was policy-driven and intentional, discussed the user's business need, and submitted an exception request for the specific device to be whitelisted by the security team once approved.",Security Team,10.4
INC100071,2024-06-11 21:13:51,Email,Mail Flow,Medium,Messages to clients outside the company are not going through,An outbound transport rule misconfiguration was blocking emails sent to specific external domains.,"Reviewed mail flow logs in the Exchange admin center, identified the incorrect transport rule, corrected the recipient domain conditions, and confirmed successful delivery of a test email to an external address.",Messaging Team,6.8
INC100072,2024-06-12 05:58:34,Security,Suspicious Login,Medium,Suspicious login attempt detected from foreign IP address,"The user had traveled internationally and signed in from a new location without prior notice, triggering the conditional access risk policy.","Contacted the user to verify the login was legitimate, confirmed travel details, cleared the risk flag in Azure AD Identity Protection, and reminded the user to enable travel notifications for future trips.",Security Team,5.6
INC100073,2024-06-12 09:17:28,Printer,Scan to Email,Low,Scan-to-email function on the office MFP stopped working,The SMTP relay credentials stored on the multifunction printer had expired after a scheduled password rotation.,"Updated the SMTP authentication credentials in the printer's web configuration panel, tested the scan-to-email function with a sample document, and confirmed successful delivery.",Desktop Support,36.5
INC100074,2024-06-12 14:28:23,SharePoint,File Upload,Critical,Upload to SharePoint stalls and times out,The file being uploaded exceeded the character limit for file path length when combined with the deep folder structure of the SharePoint library.,"Identified the file path length issue, restructured the folder hierarchy to shorten the overall path, renamed the file to a shorter name, and confirmed successful upload.",Application Support,1.8
INC100075,2024-06-12 16:52:56,WiFi,Disconnections,High,WiFi connection drops every few minutes throughout the day,Wireless access point overlap with conflicting channel settings was causing interference and forcing frequent reconnections.,"Performed a wireless site survey to identify channel overlap, reconfigured access points to use non-overlapping channels, adjusted transmit power levels, and confirmed stable connectivity over a 24-hour monitoring period.",Network Team,5.8
INC100076,2024-06-13 01:30:05,Desktop,Display,Low,Desktop monitor shows no signal even though PC is running,A loose display cable connection at the graphics card was preventing the video signal from reaching the monitor.,"Reseated the display cable at both the monitor and graphics card ends, tested with an alternate cable to rule out a faulty cable, and confirmed video output was restored.",Desktop Support,34.5
INC100077,2024-06-13 10:19:32,Network,Outage,Critical,Multiple users in one building reporting no network access,A core switch failure in the building's network closet caused a loss of connectivity for all connected devices.,"Identified the failed core switch via monitoring alerts, failed over traffic to the redundant switch, replaced the faulty hardware, and restored full connectivity for the affected department.",Network Team,2.6
INC100078,2024-06-13 12:58:19,Office 365,Storage Quota,High,User receiving storage full warnings in OneDrive,The user's OneDrive storage usage had grown beyond the standard allocation due to large video files stored without cleanup.,"Reviewed storage usage in OneDrive admin reports, worked with the user to archive or delete unnecessary large files, requested a temporary storage quota increase for the business justification, and confirmed sync resumed.",Cloud Operations,11.9
INC100079,2024-06-13 14:21:39,WiFi,Performance,Medium,Users in open office area reporting sluggish WiFi performance,Access point congestion due to a high density of connected devices in one area was exceeding the recommended client capacity per access point.,"Analyzed access point client load using the wireless controller dashboard, deployed an additional access point to balance the load, enabled band steering to push capable devices to the less congested 5GHz band, and confirmed improved speeds.",Network Team,18.6
INC100080,2024-06-13 18:03:32,Outlook,Performance,Medium,Outlook performance has degraded significantly over the past week,An oversized OST file combined with too many add-ins enabled was degrading Outlook's performance.,"Disabled unnecessary add-ins, ran the Microsoft Support and Recovery Assistant to optimize and compact the OST file, enabled cached Exchange mode with a reduced sync window, and confirmed improved performance.",Messaging Team,5.6
INC100081,2024-06-13 18:22:37,Email,Distribution List,High,External sender's emails to our distribution list are bouncing,"The distribution list had reached its member delivery restriction setting, which was limited to internal senders only, blocking messages from an external partner.","Reviewed the distribution list delivery management settings in the Exchange admin center, updated the setting to allow senders from approved external domains, and confirmed test email delivery to all members.",Messaging Team,10.2
INC100082,2024-06-13 18:32:10,Laptop,Performance,High,"Performance issues reported on company laptop, very laggy",Excessive startup applications and accumulated temporary files were consuming system resources and slowing down boot and overall performance.,"Disabled unnecessary startup applications via Task Manager, cleared temporary files and browser cache using Disk Cleanup, ran a malware scan to rule out infection, and confirmed improved boot time and responsiveness.",Desktop Support,1.1
INC100083,2024-06-14 04:05:12,Database,Data Integrity,Critical,Data integrity issue reported by finance team in database,An unexpected application crash during a batch write operation left the affected table in an inconsistent state.,"Restored the affected table from the most recent verified backup, replayed transaction logs to minimize data loss, validated data integrity with the business team, and identified the root application bug for a permanent fix.",Application Support,2.6
INC100084,2024-06-14 07:02:41,Microsoft Teams,Meetings,Medium,Teams meeting link gives error when clicked,An outdated Teams client version was incompatible with the meeting service's updated calling infrastructure.,"Updated the Teams client to the latest version through the app's update mechanism, restarted the application, verified microphone and camera permissions were granted, and confirmed successful meeting join with working audio and video.",Cloud Operations,13.8
INC100085,2024-06-14 07:09:52,Email,Phishing / Security,High,Several employees received a similar suspicious email today,"A phishing email impersonating a known vendor was sent to multiple users, attempting to harvest credentials through a fake login page.","Confirmed the email was malicious through header analysis, blocked the sender domain at the email gateway, purged the message from all affected mailboxes using Microsoft Purview, and notified affected users with security awareness guidance.",Security Team,8.1
INC100086,2024-06-14 07:33:40,Password Reset,MFA Reset,Critical,User lost their phone and cannot complete MFA for login,"The user's MFA authentication method was tied to a mobile device that was no longer in their possession, blocking the second authentication factor.","Verified the user's identity through alternate means per security policy, removed the old MFA device registration in Azure AD, guided the user through re-registering MFA on their new device, and confirmed successful login.",Security Team,3.0
